design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,sigma_rod,tau_rod,sigma_crank,tau_crank,sigma_pin,tau_pin,sigma,tau
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,105.00000000000001,438197.4834067629,24428.92966071437,321814.3501649389,44939.24106051557,1257739.4244307214,81753.06258799689,1257739.4244307214,81753.06258799689
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,119.99999999999999,580833.7751095542,60556.07896820216,62416.10044520621,135076.33719164424,1381909.0450022307,79459.77008762826,1381909.0450022307,135076.33719164424
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,135.0,733382.7677857082,58362.19911650002,85770.48224361191,146695.3710380068,1331588.2829555396,83738.02979520874,1331588.2829555396,146695.3710380068
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,150.0,886442.1055278006,60981.94059213002,105426.36878762241,159850.7928220576,1405719.0301693066,90330.22142388712,1405719.0301693066,159850.7928220576
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,165.0,1026483.0993698929,64778.91077965176,119295.93605114635,165279.21374745184,1488089.561301817,95693.30735588346,1488089.561301817,165279.21374745184
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,180.0,1147192.495870713,68432.91862413572,178550.92713193272,159867.1001238721,1561193.7684159246,100094.33516868683,1561193.7684159246,159867.1001238721
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,195.0,1246002.4342214314,71405.29453776249,268924.24541461735,142913.79959015475,1620328.9620013349,103624.2908911025,1620328.9620013349,142913.79959015475
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,210.00000000000003,1322724.947959307,73451.96106120569,347567.9260572031,115271.92214703902,1662164.790505472,106237.51374641241,1662164.790505472,115271.92214703902
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,225.0,1378727.5676961516,74458.19753544014,406379.97614330356,79089.90227456321,1683380.6809507182,107826.80676946636,1683380.6809507182,107826.80676946636
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,239.99999999999997,1416198.2576102572,74373.97910861217,439757.1861095918,37561.13979146571,1681244.322214488,108289.75034937206,1681244.322214488,108289.75034937206
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,255.00000000000003,1437413.7357026548,73189.30582554023,445401.9144345273,10520.992483981368,1655355.053878565,107598.07850210673,1655355.053878565,107598.07850210673
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,270.0,1444072.7352676308,70931.51719690765,424650.6840245924,46539.77946704772,1628615.9853809325,105860.03904976061,1628615.9853809325,105860.03904976061
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,285.0,1436815.8595776507,67675.59132899386,381778.54228302353,82656.17315887143,1589922.6087973267,103344.96957182624,1589922.6087973267,103344.96957182624
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,300.0,1415045.8179199703,63558.70795421635,322239.5261316096,112396.18207269636,1545227.2486634036,100439.77116312124,1545227.2486634036,112396.18207269636
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,315.0,1377095.9098496477,58791.04801118975,250589.52932243902,135386.3720670097,1500590.7121874625,97538.39629218508,1500590.7121874625,135386.3720670097
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,330.0,1326867.835422361,80993.84646165474,394860.223691507,72390.23990506321,1732208.4718134077,103751.6066475168,1732208.4718134077,103751.6066475168
